STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
476040,99999,19730701,75.4,8,70.9,8,1012.7,8,9999.9,0,5.7,8,5.1,8,13,999.9,80.6,68, 0.12E,999.9,10000
476040,99999,19730702,73.4,8,67.8,8,1012.6,8,9999.9,0,10,8,3.6,8,9.9,999.9,80.6,  68.0*, 0.00F,999.9,0
476040,99999,19730703,74.1,8,68.5,8,1013.1,8,9999.9,0,12.3,8,6.1,8,12,999.9,78.8,66.2, 0.00F,999.9,0
476040,99999,19730704,73.8,8,69.3,8,1013.7,8,9999.9,0,3,8,3.8,8,6,999.9,78.8,68, 0.00F,999.9,0
476040,99999,19730705,75.2,7,69.5,7,1014.3,7,9999.9,0,4,7,3.3,7,8,999.9,   80.6*,69.8, 0.00F,999.9,0
476040,99999,19730706,74.3,8,68.4,8,1014.8,8,9999.9,0,7.4,8,4.6,8,8.9,999.9,82.4,  68.0*, 0.00F,999.9,0
476040,99999,19730707,73.6,8,68,8,1012.1,8,9999.9,0,9.1,8,5.2,8,8,999.9,80.6,68, 0.00F,999.9,0
476040,99999,19730708,74.5,8,70.2,8,1009.9,8,9999.9,0,2.9,8,4.9,8,13,999.9,82.4,69.8, 0.00F,999.9,0
476040,99999,19730709,74.1,8,69.3,8,1009.4,8,9999.9,0,4.3,8,4.9,8,8.9,999.9,78.8,69.8, 0.00F,999.9,0
476040,99999,19730710,75,8,69.6,8,1009.3,8,9999.9,0,5.5,8,3.9,8,8,999.9,80.6,69.8, 0.00G,999.9,0
476040,99999,19730711,76.1,8,70.7,8,1010.1,8,9999.9,0,3.8,8,6.6,8,11.1,999.9,87.8,69.8, 0.00G,999.9,10000
476040,99999,19730712,73.7,7,66.2,7,1013.1,7,9999.9,0,15.4,7,4.6,7,8,999.9,78.8,  68.0*, 0.43G,999.9,0
476040,99999,19730713,80.6,8,69.6,8,1012.3,8,9999.9,0,9.2,8,5.9,8,9.9,999.9,91.4,66.2, 0.00G,999.9,0
476040,99999,19730714,82,8,72.1,8,1012.6,8,9999.9,0,2.4,8,5.6,8,9.9,999.9,89.6,75.2, 0.00F,999.9,0
476040,99999,19730715,81.5,8,68.9,8,1013.7,8,9999.9,0,4.2,8,5.4,8,8.9,999.9,91.4,  73.4*, 0.00F,999.9,0
476040,99999,19730716,79.9,8,71.2,8,1013,8,9999.9,0,3.7,8,4.7,8,9.9,999.9,89.6,71.6, 0.00F,999.9,0
476040,99999,19730717,80.8,8,70.7,8,1009.8,8,9999.9,0,2.5,8,4.2,8,8.9,999.9,89.6,71.6, 0.00F,999.9,0
476040,99999,19730718,81.5,8,70.9,8,1007.7,8,9999.9,0,5.9,8,4.8,8,7,999.9,87.8,73.4, 0.00F,999.9,0
476040,99999,19730719,82.4,6,70.4,6,1009.6,6,9999.9,0,2.4,6,4,6,5.1,999.9,91.4,73.4, 0.00F,999.9,0
476040,99999,19730720,82.4,8,72.5,8,1008.2,8,9999.9,0,2.7,8,5.9,8,11.1,999.9,91.4,75.2, 0.00F,999.9,0
476040,99999,19730721,81.5,8,73.9,8,1003.2,8,9999.9,0,3.7,8,13.1,8,53,999.9,89.6,75.2, 0.00F,999.9,0
476040,99999,19730722,80.4,8,65.5,8,1004.4,8,9999.9,0,11.3,8,7.5,8,8.9,999.9,91.4,  71.6*, 0.00F,999.9,0
476040,99999,19730723,77.4,8,63.5,8,1009.1,8,9999.9,0,15.5,8,6.8,8,9.9,999.9,87.8,71.6, 0.00F,999.9,0
476040,99999,19730724,78.1,8,68,8,1010.9,8,9999.9,0,7.1,8,4.3,8,8,999.9,87.8,69.8, 0.00F,999.9,0
476040,99999,19730725,78,7,69.8,7,1011.2,7,9999.9,0,5.4,7,4.6,7,9.9,999.9,86,  69.8*, 0.00F,999.9,0
476040,99999,19730726,80.2,8,71.2,8,1010.2,8,9999.9,0,2.5,8,3.8,8,7,999.9,   84.2*,69.8, 0.00F,999.9,0
476040,99999,19730727,81.1,8,69.8,8,1009.3,8,9999.9,0,2.4,8,7,8,11.1,999.9,89.6,73.4, 0.00F,999.9,0
476040,99999,19730728,81.7,8,66.9,8,1007.4,8,9999.9,0,3.3,8,7.9,8,11.1,999.9,89.6,75.2, 0.00F,999.9,0
476040,99999,19730729,82.9,8,68.4,8,1005.5,8,9999.9,0,3.3,8,5.9,8,8.9,999.9,91.4,75.2, 0.00F,999.9,0
476040,99999,19730730,83.1,8,72.7,8,1003.4,8,9999.9,0,3.9,8,5.4,8,7,999.9,91.4,75.2, 0.00F,999.9,10000
476040,99999,19730731,81.1,7,73.9,7,1004.2,7,9999.9,0,5.8,7,5,7,7,999.9,87.8,75.2, 0.00G,999.9,10000
476040,99999,19730801,82.2,8,74.1,8,1006.8,8,9999.9,0,7.9,8,6.1,8,9.9,999.9,91.4,77, 0.04G,999.9,10000
476040,99999,19730802,82.9,7,74.4,7,1007.7,7,9999.9,0,7.5,7,4.6,7,8.9,999.9,89.6,77, 0.00G,999.9,10000
476040,99999,19730803,83.2,7,74.2,7,1010.7,7,9999.9,0,6.3,7,7.9,7,15.9,999.9,91.4,  75.2*, 0.04G,999.9,10000
476040,99999,19730804,80.2,8,75,8,1015.2,8,9999.9,0,6.9,8,4.5,8,9.9,999.9,87.8,75.2, 0.83G,999.9,0
476040,99999,19730805,81.5,8,73.6,8,1016.5,8,9999.9,0,5.4,8,5.8,8,9.9,999.9,91.4,75.2, 0.00G,999.9,0
476040,99999,19730806,82,8,73.4,8,1014.3,8,9999.9,0,11.3,8,6.9,8,8.9,999.9,89.6,73.4, 0.00F,999.9,10
476040,99999,19730807,81.3,8,74.5,8,1012.9,8,9999.9,0,12.8,8,6.3,8,12,999.9,89.6,73.4, 0.00F,999.9,0
476040,99999,19730808,80.6,8,73.6,8,1014,8,9999.9,0,6.9,8,4.2,8,9.9,999.9,86,73.4, 0.00F,999.9,0
476040,99999,19730809,82.4,7,70.8,7,1014.4,7,9999.9,0,7.6,7,4.1,7,7,999.9,   87.8*,73.4, 0.00F,999.9,0
476040,99999,19730810,80.4,8,71.6,8,1014.2,8,9999.9,0,7.4,8,5,8,9.9,999.9,89.6,  71.6*, 0.00F,999.9,0
476040,99999,19730811,80.2,8,71.4,8,1011.9,8,9999.9,0,5.7,8,4.7,8,8,999.9,89.6,71.6, 0.00F,999.9,0
476040,99999,19730812,81.5,8,71.8,8,1012.1,8,9999.9,0,3.6,8,4.9,8,8,999.9,91.4,71.6, 0.00F,999.9,0
476040,99999,19730813,81.1,7,72.4,7,1011.3,7,9999.9,0,2.3,7,5.1,7,14,999.9,89.6,71.6, 0.00F,999.9,0
476040,99999,19730814,83.9,7,74.9,7,1011.5,7,9999.9,0,3.4,7,5.8,7,9.9,999.9,91.4,75.2, 0.00F,999.9,0
476040,99999,19730815,84.2,8,74.8,8,1010.9,8,9999.9,0,4.5,8,5.5,8,9.9,999.9,93.2,75.2, 0.00F,999.9,0
476040,99999,19730816,84.9,8,73.4,8,1010.8,8,9999.9,0,8.9,8,4.2,8,6,999.9,95,77, 0.00F,999.9,0
476040,99999,19730817,85.1,8,73.6,8,1009,8,9999.9,0,10.9,8,4,8,5.1,999.9,93.2,77, 0.00F,999.9,10000
476040,99999,19730818,86.9,8,73.6,8,1007.8,8,9999.9,0,8.3,8,11.5,8,17.1,999.9,95,78.8, 0.00G,999.9,0
476040,99999,19730819,81.3,8,75.7,8,1014.1,8,9999.9,0,5.7,8,9.5,8,17.1,999.9,87.8,  75.2*, 0.04F,999.9,10000
476040,99999,19730820,79.9,8,72.7,8,1017.4,8,9999.9,0,7.4,8,4,8,6,999.9,87.8,  73.4*, 0.00F,999.9,0
476040,99999,19730821,82.4,8,72.5,8,1015.4,8,9999.9,0,3.7,8,5.4,8,8,999.9,91.4,73.4, 0.00F,999.9,0
476040,99999,19730822,82.2,8,74.1,8,1014.9,8,9999.9,0,3.3,8,6.2,8,11.1,999.9,91.4,75.2, 0.02F,999.9,10000
476040,99999,19730823,79.3,7,72.6,7,1014.7,7,9999.9,0,4.2,7,5.9,7,8.9,999.9,91.4,  73.4*, 0.00F,999.9,10000
476040,99999,19730824,78.5,7,70.3,7,1012.9,7,9999.9,0,3.6,7,3.4,7,9.9,999.9,   82.4*,73.4, 0.04G,999.9,10000
476040,99999,19730825,77.5,8,72.9,8,1011.9,8,9999.9,0,3.3,8,3.9,8,5.1,999.9,82.4,75.2, 0.12G,999.9,10000
